body_id,body_name,jd_tdb,calendar_tdb,x_au,y_au,z_au,vx_au_per_day,vy_au_per_day,vz_au_per_day
8,Neptune Barycenter,2463026.750000000,A.D. 2031-Jun-09 06:00:00.0000,29.06997078794353,6.491201328848180,1.933141958877275,-0.0007277984331863815,0.002841691960130442,0.001181238512653161
8,Neptune Barycenter,2463392.000000000,A.D. 2032-Jun-08 12:00:00.0000,28.78260640578559,7.524049616194713,2.363046357046494,-0.0008455373209255567,0.002813173184858383,0.001172496949876672
8,Neptune Barycenter,2463757.250000000,A.D. 2033-Jun-08 18:00:00.0000,28.45245203760336,8.545712498054979,2.789437829918041,-0.0009620750305417972,0.002780450696963965,0.001162004804696344
8,Neptune Barycenter,2464122.500000000,A.D. 2034-Jun-09 00:00:00.0000,28.07997759059743,9.554662576759140,3.211679486656553,-0.001077240983935001,0.002743570362248609,0.001149776663350795
8,Neptune Barycenter,2464487.750000000,A.D. 2035-Jun-09 06:00:00.0000,27.66571572671984,10.54939149000896,3.629140699989598,-0.001190860545898146,0.002702590388891723,0.001135832108053089
8,Neptune Barycenter,2464853.000000000,A.D. 2036-Jun-08 12:00:00.0000,27.21026449884668,11.52841356770264,4.041198521204588,-0.001302751010255328,0.002657575081521571,0.001120192882523040
9,Pluto Barycenter,2461200.500000000,A.D. 2026-Jun-09 00:00:00.0000,19.65592596627438,-26.05493102963561,-14.05321944172676,0.002700884748402464,0.001309492203446180,-0.0004051145476772906
9,Pluto Barycenter,2461565.750000000,A.D. 2027-Jun-09 06:00:00.0000,20.63368508069544,-25.56531381710376,-14.19502006873484,0.002652814984597011,0.001371091242517121,-0.0003714071329193439
9,Pluto Barycenter,2461931.000000000,A.D. 2028-Jun-08 12:00:00.0000,21.59365555947629,-25.05364984823550,-14.32458055381451,0.002603498562411549,0.001430218389122639,-0.0003380955146969302
9,Pluto Barycenter,2462296.250000000,A.D. 2029-Jun-08 18:00:00.0000,22.53540254691740,-24.52083652253982,-14.44205000247929,0.002553046529410602,0.001486904305974856,-0.0003052039849458759
9,Pluto Barycenter,2462661.500000000,A.D. 2030-Jun-09 00:00:00.0000,23.45853053275015,-23.96775919247382,-14.54758575173692,0.002501563371183616,0.001541184296746374,-0.0002727532963023788
9,Pluto Barycenter,2463026.750000000,A.D. 2031-Jun-09 06:00:00.0000,24.36268111131567,-23.39528949546295,-14.64135207131589,0.002449148035569483,0.001593098063465532,-0.0002407607149751576
9,Pluto Barycenter,2463392.000000000,A.D. 2032-Jun-08 12:00:00.0000,25.24753130144522,-22.80428392279390,-14.72351901340649,0.002395895920335546,0.001642688517345143,-0.0002092408760120536
9,Pluto Barycenter,2463757.250000000,A.D. 2033-Jun-08 18:00:00.0000,26.11279256586509,-22.19558309225665,-14.79426176673628,0.002341900209884396,0.001689999163716478,-0.0001782075862618336
9,Pluto Barycenter,2464122.500000000,A.D. 2034-Jun-09 00:00:00.0000,26.95820969221383,-21.57001195738485,-14.85376057506875,0.002287249473240709,0.001735072273331767,-0.0001476745889935359
9,Pluto Barycenter,2464487.750000000,A.D. 2035-Jun-09 06:00:00.0000,27.78355836978470,-20.92837997251102,-14.90220038939057,0.002232024071274121,0.001777951057252367,-0.0001176534457164639
9,Pluto Barycenter,2464853.000000000,A.D. 2036-Jun-08 12:00:00.0000,28.58864226064065,-20.27148019378176,-14.93976969627373,0.002176297410384636,0.001818682211037664,-0.00008815196785253537
10,Sun,2461200.500000000,A.D. 2026-Jun-09 00:00:00.0000,-0.001963182736873869,-0.004981181594821313,-0.002040178678602453,0.000006591177489203827,0.000001635114338889452,5.614415355516074E-7
10,Sun,2461565.750000000,A.D. 2027-Jun-09 06:00:00.0000,0.00008015247763233047,-0.003938112349880949,-0.001636272538195507,0.000004350356779775150,0.000003905801571652828,0.000001579565531380655
10,Sun,2461931.000000000,A.D. 2028-Jun-08 12:00:00.0000,0.001137845730909473,-0.002281263666766634,-0.0009482875559497458,0.000001246136146005141,0.000004902579613503533,0.000002077705490444925
10,Sun,2462296.250000000,A.D. 2029-Jun-08 18:00:00.0000,0.001061889925243687,-0.0005445476659311988,-0.0002015934793339268,-0.000001732175401658000,0.000004432513356064137,0.000001937076128263779
10,Sun,2462661.500000000,A.D. 2030-Jun-09 00:00:00.0000,-0.00003765383129250720,0.0007664147148687755,0.0003846131793011749,-0.000004175079597474927,0.000002545120832667290,0.000001178828882981525
10,Sun,2463026.750000000,A.D. 2031-Jun-09 06:00:00.0000,-0.001794084348568492,0.001230555595629640,0.0006206683152048799,-0.000005334501790934719,-1.187330554467258E-7,6.025176123947977E-8
