run,jd_tdb,body_id,body_name,x,y,z,vx,vy,vz
coarse,2463757.250000000,5,Jupiter Barycenter,4.11650073946993089e+00,-2.61858613161881060e+00,-1.22255496843101730e+00,4.24054654785236632e-03,6.04206042264523319e-03,2.48652600459319797e-03
coarse,2463757.250000000,6,Saturn Barycenter,-1.48047424349684609e+00,8.19955671978024014e+00,3.45058756199661953e+00,-5.80441583783647928e-03,-9.48484039214340306e-04,-1.41752424346007179e-04
coarse,2463757.250000000,7,Uranus Barycenter,-3.98974957784820394e-01,1.73870454337175637e+01,7.62064566491577988e+00,-3.96119014231624978e-03,-2.64914106072523098e-04,-6.00338929099593699e-05
coarse,2463757.250000000,8,Neptune Barycenter,2.84524520136436507e+01,8.54571249540246747e+00,2.78943782587794553e+00,-9.62075049418820009e-04,2.78045069406055584e-03,1.16200480115487888e-03
coarse,2463757.250000000,9,Pluto Barycenter,2.61127925445491513e+01,-2.21955830552266313e+01,-1.47942617770023297e+01,2.34190019281279660e-03,1.68999919264804723e-03,-1.78207596745870786e-04
coarse,2463757.250000000,10,Sun,-4.95661548275063563e-03,-1.03897300976743025e-03,-2.93550210683911675e-04,-2.26204676212992905e-06,-5.64401038372576806e-06,-2.39456395689696345e-06
coarse,2464122.500000000,1,Mercury Barycenter,-1.79040551606341192e-01,-3.90990406267768098e-01,-1.90357623154621014e-01,2.04328218440785053e-02,-7.35925335916432551e-03,-6.04781570310444511e-03
coarse,2464122.500000000,2,Venus Barycenter,-7.18584324808890784e-01,5.67002442370116294e-02,7.08635220864905074e-02,-2.46727001815924161e-03,-1.84659790646426285e-02,-8.15344020083002066e-03
coarse,2464122.500000000,3,Earth-Moon Barycenter,-2.19753846040168843e-01,-9.13545298803032702e-01,-3.95824923578832144e-01,1.65371889125148427e-02,-3.40474320761655546e-03,-1.47601056734651226e-03
coarse,2464122.500000000,4,Mars Barycenter,-6.65735936005888762e-01,1.33719969497989699e+00,6.31399469390194978e-01,-1.22497102090394147e-02,-4.22516937483739460e-03,-1.60768293107136089e-03
coarse,2464122.500000000,5,Jupiter Barycenter,4.95235912076125118e+00,-1.25190203376763703e-01,-1.74181819709415209e-01,1.85970069057242465e-04,7.25686289209571261e-03,3.10590791274479791e-03
coarse,2464122.500000000,6,Saturn Barycenter,-3.54214525033223415e+00,7.63692873995374022e+00,3.30699684687177831e+00,-5.43473232648419586e-03,-2.11681118880315900e-03,-6.40262322907436308e-04
coarse,2464122.500000000,7,Uranus Barycenter,-1.84325945406808001e+00,1.72400190977762193e+01,7.57666666011635215e+00,-3.94342611246265799e-03,-5.40243534412712906e-04,-1.80873476109535953e-04
coarse,2464122.500000000,8,Neptune Barycenter,2.80799775592375127e+01,9.55466257289442744e+00,3.21167948119667157e+00,-1.07724100558210362e-03,2.74357035849401602e-03,1.14977665910936792e-03
coarse,2464122.500000000,9,Pluto Barycenter,2.69582096642015401e+01,-2.15700119090542941e+01,-1.48537605896414604e+01,2.28724945364953839e-03,1.73507230626544014e-03,-1.47674602135171784e-04
coarse,2464122.500000000,10,Sun,-5.08006533429989672e-03,-3.30658560514140087e-03,-1.27449908099480148e-03,1.56013216437282187e-06,-6.38324771716972541e-06,-2.80782689275032441e-06
coarse,2464487.750000000,1,Mercury Barycenter,1.15723596135127130e-01,-3.85545168310274911e-01,-2.17670086472124741e-01,2.14907802131954970e-02,8.64909536142805142e-03,2.39474298495294911e-03
coarse,2464487.750000000,2,Venus Barycenter,5.71975231876491241e-01,4.06798827566338173e-01,1.46855716697708472e-01,-1.22944271336784192e-02,1.43206400266583586e-02,7.22239417423745002e-03
coarse,2464487.750000000,3,Earth-Moon Barycenter,-2.18503857887441033e-01,-9.15725619780256905e-01,-3.96799148011470593e-01,1.65405860549848772e-02,-3.40462474077571266e-03,-1.47602488926611175e-03
coarse,2464487.750000000,4,Mars Barycenter,4.94212360767304681e-01,-1.20699063385323613e+00,-5.66784067229180621e-01,1.36331087130712163e-02,5.69065983172620336e-03,2.24289845449398336e-03
coarse,2464487.750000000,5,Jupiter Barycenter,4.23421784450193339e+00,2.40344208709779217e+00,9.27118827527033340e-01,-4.01115561308609207e-03,6.21323287176500302e-03,2.76074098193659001e-03
coarse,2464487.750000000,6,Saturn Barycenter,-5.41617723673774787e+00,6.66866923790418031e+00,2.98777415483082764e+00,-4.78343366144935635e-03,-3.15872955081430247e-03,-1.09869045918428764e-03
coarse,2464487.750000000,7,Uranus Barycenter,-3.27680963303419270e+00,1.69924368547710607e+01,7.48849492919515036e+00,-3.90235608251751458e-03,-8.15248916463453600e-04,-3.01898677453684501e-04
