comparison,jd_tdb,body_id,body_name,position_residual_au,position_residual_km,velocity_residual_au_per_day,velocity_residual_m_per_s
coarse_vs_tight,2463392.000000000,4,Mars Barycenter,9.71445146547011973e-17,1.45326125425282429e-08,1.24358745382082872e-18,2.15321799908368668e-12
coarse_vs_tight,2463392.000000000,5,Jupiter Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463392.000000000,6,Saturn Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,5.42101086242752217e-20,9.38624632014731395e-14
coarse_vs_tight,2463392.000000000,7,Uranus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,3.38813178901720136e-21,5.86640395009207122e-15
coarse_vs_tight,2463392.000000000,8,Neptune Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463392.000000000,9,Pluto Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463392.000000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463757.250000000,1,Mercury Barycenter,4.37933818963579654e-15,6.55139668244707913e-07,2.76503440444204202e-16,4.78753772357375067e-10
coarse_vs_tight,2463757.250000000,2,Venus Barycenter,3.18113286421493111e-15,4.75890702900345903e-07,8.70824273664023468e-17,1.50779464229180518e-10
coarse_vs_tight,2463757.250000000,3,Earth-Moon Barycenter,2.08610433639772636e-15,3.12076766783136323e-07,3.57313297305754211e-17,6.18672551501584203e-11
coarse_vs_tight,2463757.250000000,4,Mars Barycenter,3.60822483003175876e-16,5.39782751579620497e-08,3.13588024780885065e-18,5.42964129447213434e-12
coarse_vs_tight,2463757.250000000,5,Jupiter Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463757.250000000,6,Saturn Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463757.250000000,7,Uranus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463757.250000000,8,Neptune Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463757.250000000,9,Pluto Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463757.250000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464122.500000000,1,Mercury Barycenter,4.31284493146831389e-15,6.45192418406947138e-07,2.57955189090235199e-16,4.46638275739757536e-10
coarse_vs_tight,2464122.500000000,2,Venus Barycenter,4.09430609312434197e-15,6.12499473525437466e-07,1.13885620116118217e-16,1.97188035563893162e-10
coarse_vs_tight,2464122.500000000,3,Earth-Moon Barycenter,2.24116605698058677e-15,3.35273670009410624e-07,3.88912855417515564e-17,6.73385822434227809e-11
coarse_vs_tight,2464122.500000000,4,Mars Barycenter,2.22044604925031308e-16,3.32174000972074142e-08,2.60208521396521064e-18,4.50539823367071029e-12
coarse_vs_tight,2464122.500000000,5,Jupiter Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,2.71050543121376109e-20,4.69312316007365698e-14
coarse_vs_tight,2464122.500000000,6,Saturn Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464122.500000000,7,Uranus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464122.500000000,8,Neptune Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464122.500000000,9,Pluto Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464122.500000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464487.750000000,1,Mercury Barycenter,4.42144228736536146e-15,6.61438351612795541e-07,2.71596777561694054e-16,4.70258097363552878e-10
coarse_vs_tight,2464487.750000000,2,Venus Barycenter,4.66268887920059227e-15,6.97528328064978064e-07,1.30669708284698051e-16,2.26248959772927976e-10
coarse_vs_tight,2464487.750000000,3,Earth-Moon Barycenter,2.27528013451374588e-15,3.40377063369265940e-07,3.90625870484200657e-17,6.76351834082990677e-11
coarse_vs_tight,2464487.750000000,4,Mars Barycenter,2.22044604925031308e-16,3.32174000972074142e-08,1.93947980722443212e-18,3.35812557206506405e-12
coarse_vs_tight,2464487.750000000,5,Jupiter Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464487.750000000,6,Saturn Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464487.750000000,7,Uranus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464487.750000000,8,Neptune Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464487.750000000,9,Pluto Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464487.750000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464853.000000000,1,Mercury Barycenter,3.56029500490886763e-15,5.32612551798212607e-07,2.52436540609541430e-16,4.37082974097933663e-10
